Sampling_code,Date_Time_Enumerated,Sample_Name,Test,Dilution,Plating_Replicate,Count,Photo_on_labserver_date?,Comments
1221_A,"2021_12_17, 3:00PM",H_1,APC,10^-5,1,2,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_1,APC,10^-5,2,7,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_2,APC,10^-5,1,11,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_2,APC,10^-5,2,8,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_3,APC,10^-5,1,10,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_3,APC,10^-5,2,9,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_1,GN,10^-5,1,0,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_1,GN,10^-5,2,2,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_2,GN,10^-5,1,0,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_2,GN,10^-5,2,2,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_3,GN,10^-5,1,2,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_3,GN,10^-5,2,1,"Y, 2022_01_25",
1221_A,"2021_12_25, 3:50PM",H_1,PC,10^-5,1,0,"Y, 2022_01_25",
1221_A,"2021_12_25, 3:50PM",H_1,PC,10^-5,2,2,"Y, 2022_01_25",
1221_A,"2021_12_25, 3:50PM",H_2,PC,10^-5,1,3,"Y, 2022_01_25",
1221_A,"2021_12_25, 3:50PM",H_2,PC,10^-5,2,3,"Y, 2022_01_25",
1221_A,"2021_12_25, 3:50PM",H_3,PC,10^-5,1,2,"Y, 2022_01_25",
1221_A,"2021_12_25, 3:50PM",H_3,PC,10^-5,2,4,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_NC,APC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2021_12_17, 3:00PM",H_NC,GN,NA,NA,0,"Y, 2022_01_25",
1221_A,"2021_12_25, 3:50PM",H_NC,PC,NA,NA,0,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30pm",DI_1,APC,10^-4,1,109,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_1,APC,10^-4,2,111,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_2,APC,10^-4,1,110,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_2,APC,10^-4,2,117,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_3,APC,10^-4,1,82,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_3,APC,10^-4,2,87,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_1,GN,10^-4,1,41,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_1,GN,10^-4,2,45,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_2,GN,10^-4,1,28,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_2,GN,10^-4,2,28,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_3,GN,10^-4,1,33,"Y, 2022_01_25",
1221_A,"2021_12_23, 3:30PM",DI_3,GN,10^-4,2,26,"Y, 2022_01_25",
1221_A,"2021_12_31, 3:10PM",DI_1,PC,10^-4,1,141,"Y, 2022_01_25",
1221_A,"2021_12_31, 3:10PM",DI_1,PC,10^-4,2,150,"Y, 2022_01_25",
