Sampling_code,Date_Time_of_arrival,Date_Time_of_testing,Date_Time_of_incubation,Sample_Name,Sample_Mass_g,Buffer_Volume_mL,Total_Bag_Mass,Bag_Mass,Notes
1221_A,"2021_12_15, 11:02AM",2021_12_15_11:45AM,"2021_12_15, 3:00PM",H_1,23.56,225,,,
1221_A,"2021_12_15, 11:02AM",2021_12_15_11:45AM,"2021_12_15, 3:00PM",H_2,24.07,225,,,
1221_A,"2021_12_15, 11:02AM",2021_12_15_11:45AM,"2021_12_15, 3:00PM",H_3,24.32,225,,,
1221_A,"2021_12_21, 11:21AM",2021_12_21_1:15PM,"2021_12_21, 3:30PM",DI_1,25.45,220.75,37.52,12.07,Buffer leak
1221_A,"2021_12_21, 11:21AM",2021_12_21_1:15PM,"2021_12_21, 3:30PM",DI_2,25.77,221.58,37.87,12.1,Buffer leak
1221_A,"2021_12_21, 11:21AM",2021_12_21_1:15PM,"2021_12_21, 3:30PM",DI_3,28.2,227.1,40.28,12.08,
1221_A,"2021_12_21, 11:21AM","2021_12_23, 1:15PM","2021_12_23, ~3:15PM",D7_1,25.42,207,37.52,12.1,
1221_A,"2021_12_21, 11:21AM","2021_12_23, 1:15PM","2021_12_23, ~3:15PM",D7_2,26.17,204.11,38.27,12.1,
1221_A,"2021_12_21, 11:21AM","2021_12_23, 1:15PM","2021_12_23, ~3:15PM",D7_3,25.19,200.26,37.28,12.09,
1221_A,"2021_12_21, 11:21AM","2021_12_28, 1:15PM","2021_12_28, 3:00PM",D12_1,25.52,201.44,37.68,12.16,
1221_A,"2021_12_21, 11:21AM","2021_12_28, 1:15PM","2021_12_28, 3:00PM",D12_2,25.98,202.48,38.13,12.15,
1221_A,"2021_12_21, 11:21AM","2021_12_28, 1:15PM","2021_12_28, 3:00PM",D12_3,26.89,210.86,39,12.11,
1221_A,"2021_12_21, 11:21AM","2022_1_2, 1:00PM","2021_1_2, 3:00PM",D17_1,25.17,200.59,37.23,12.06,
1221_A,"2021_12_21, 11:21AM","2022_1_2, 1:00PM","2021_1_2, 3:00PM",D17_2,25.79,203.98,37.89,12.1,
1221_A,"2021_12_21, 11:21AM","2022_1_2, 1:00PM","2021_1_2, 3:00PM",D17_3,25.17,198.62,37.29,12.12,
1221_A,"2021_12_21, 11:21AM","2022_1_7, 12:30PM","2022_1_7, 3:10PM",D22_1,25.47,199.11,37.55,12.08,
1221_A,"2021_12_21, 11:21AM","2022_1_7, 12:30PM","2022_1_7, 3:10PM",D22_2,27.29,199.39,39.4,12.11,
1221_A,"2021_12_21, 11:21AM","2022_1_7, 12:30PM","2022_1_7, 3:10PM",D22_3,25.55,195.27,37.62,12.07,"Buffer leak, final buffer volume: 195.27"
0122_A,"2022_1_11, 11:30am","2022_1_11, 12:45PM","2022_1_11, 4:00PM",DI_1,25.22,202.44,37.34,12.12,
0122_A,"2022_1_11, 11:30am","2022_1_11, 12:45PM","2022_1_11, 4:00PM",DI_2,25.35,205.57,37.45,12.1,
0122_A,"2022_1_11, 11:30am","2022_1_11, 12:45PM","2022_1_11, 4:00PM",DI_3,25.64,199.21,37.81,12.17,
0122_A,"2022_1_11, 11:30am","2022_1_14, 1:00pm","2022_1_14, ~4:00pm",D7_1,25.26,218.15,37.38,12.12,
0122_A,"2022_1_11, 11:30am","2022_1_14, 1:00pm","2022_1_14, ~4:00pm",D7_2,25.55,200.95,37.62,12.07,
0122_A,"2022_1_11, 11:30am","2022_1_14, 1:00pm","2022_1_14, ~4:00pm",D7_3,25.19,201.09,37.21,12.02,
0122_A,"2022_1_11, 11:30am","2022_1_19, 1:30pm","2022_1_19, ~4:00pm",D12_1,24.98,199.04,36.91,11.93,
0122_A,"2022_1_11, 11:30am","2022_1_19, 1:30pm","2022_1_19, ~4:00pm",D12_2,25.58,199.76,37.44,11.86,
0122_A,"2022_1_11, 11:30am","2022_1_19, 1:30pm","2022_1_19, ~4:00pm",D12_3,25.14,200.91,37.14,12,
0122_A,"2022_1_11, 11:30am","2022_1_24, 1:15PM","2022_1_24, 3:45PM",D17_1,24.81,202.73,36.88,12.07,
0122_A,"2022_1_11, 11:30am","2022_1_24, 1:15PM","2022_1_24, 3:45PM",D17_2,24.81,198.56,36.86,12.05,
0122_A,"2022_1_11, 11:30am","2022_1_24, 1:15PM","2022_1_24, 3:45PM",D17_3,25.02,205.38,37.12,12.1,
0122_A,"2022_1_11, 11:30am","2022_1_29, 1:30PM","2022_1_29, 4:45PM",D22_1,24.86,213.92,36.99,12.13,
0122_A,"2022_1_11, 11:30am","2022_1_29, 1:30PM","2022_1_29, 4:45PM",D22_2,24.68,199.16,36.81,12.13,
0122_A,"2022_1_11, 11:30am","2022_1_29, 1:30PM","2022_1_29, 4:45PM",D22_3,25.15,201.11,37.3,12.15,
0122_B,"2022_1_11, 11:30am","2022_1_11, 1:00pm","2022_1_11, ~4:00pm",H_1,25.98,199.95,,,
0122_B,"2022_1_11, 11:30am","2022_1_11, 1:00pm","2022_1_11, ~4:00pm",H_2,24.78,205.14,,,
0122_B,"2022_1_11, 11:30am","2022_1_11, 1:00pm","2022_1_11, ~4:00pm",H_3,25.08,205.74,,,
0122_B,"2022_1_19, 11:45am","2022_1_19, 1:30pm","2022_1_19, 4:00pm",DI_1,26.78,201.85,38.83,12.05,
0122_B,"2022_1_19, 11:45am","2022_1_19, 1:30pm","2022_1_19, 4:00pm",DI_2,25.28,202.93,37.4,12.12,
0122_B,"2022_1_19, 11:45am","2022_1_19, 1:30pm","2022_1_19, 4:00pm",DI_3,27.53,204.83,39.67,12.14,
0122_B,"2022_1_19, 11:45am","2022_1_21, 11:45AM","2022_1_21, 1:45PM",D7_1,26.06,202.98,38.21,12.15,
0122_B,"2022_1_19, 11:45am","2022_1_21, 11:45AM","2022_1_21, 1:45PM",D7_2,24.13,200.2,36.27,12.14,
0122_B,"2022_1_19, 11:45am","2022_1_21, 11:45AM","2022_1_21, 1:45PM",D7_3,24.38,201.47,36.46,12.08,
0122_B,"2022_1_19, 11:45am","2022_1_26,1:20PM","2022_1_26, 2:45PM",D12_1,26.89,205.31,38.94,12.05,
0122_B,"2022_1_19, 11:45am","2022_1_26,1:20PM","2022_1_26, 2:45PM",D12_2,25.53,198.74,37.68,12.15,
0122_B,"2022_1_19, 11:45am","2022_1_26,1:20PM","2022_1_26, 2:45PM",D12_3,24.65,199.62,36.76,12.11,
0122_B,"2022_1_19, 11:45am","2022_1_31, 1:10PM","2022_1_31, 2:30PM",D17_1,25.99,198.82,38.08,12.09,
0122_B,"2022_1_19, 11:45am","2022_1_31, 1:10PM","2022_1_31, 2:30PM",D17_2,26.37,198.92,38.47,12.1,
0122_B,"2022_1_19, 11:45am","2022_1_31, 1:10PM","2022_1_31, 2:30PM",D17_3,25.72,207.45,37.8,12.08,
0122_B,"2022_1_19, 11:45am","2022_2_5, 1:30PM","2022_2_5, 3:50PM",D22_1,24.96,200.28,37.02,12.06,
0122_B,"2022_1_19, 11:45am","2022_2_5, 1:30PM","2022_2_5, 3:50PM",D22_2,24.58,201.41,36.58,12,
0122_B,"2022_1_19, 11:45am","2022_2_5, 1:30PM","2022_2_5, 3:50PM",D22_3,26.28,208.18,38.29,12.01,
0222_A,"2022_02_08, 10:47AM","2022_02_08, 11:15PM","2022_02_08, 12:45PM",H_1,25.2,200,37.29,12.09,
0222_A,"2022_02_08, 10:47AM","2022_02_08, 11:15PM","2022_02_08, 12:45PM",H_2,25.91,196.98,37.98,12.07,
0222_A,"2022_02_08, 10:47AM","2022_02_08, 11:15PM","2022_02_08, 12:45PM",H_3,25.23,201.01,37.4,12.17,
0222_A,"2022_02_18, 10:26AM","2022_02_18, 11:20AM","2022_02_18, 2:00PM",DI_1,23.99,203.18,36.06,12.07,
0222_A,"2022_02_18, 10:26AM","2022_02_18, 11:20AM","2022_02_18, 2:00PM",DI_2,24.31,200.61,36.32,12.01,
0222_A,"2022_02_18, 10:26AM","2022_02_18, 11:20AM","2022_02_18, 2:00PM",DI_3,24.86,200.26,36.95,12.09,
0222_A,"2022_02_18, 10:26AM","2022_02_23, 1:10PM","2022_02_23, ~3:00PM",D7_1,24.02,205.75,36.1,12.08,
0222_A,"2022_02_18, 10:26AM","2022_02_23, 1:10PM","2022_02_23, ~3:00PM",D7_2,24.08,201.21,36.06,11.98,
0222_A,"2022_02_18, 10:26AM","2022_02_23, 1:10PM","2022_02_23, ~3:00PM",D7_3,24.57,201.05,36.59,12.02,
0222_A,"2022_02_18, 10:26AM","2022_02_28, 1:30PM","2022_02_28, 2:45PM",D12_1,24.34,203.08,36.33,11.99,
0222_A,"2022_02_18, 10:26AM","2022_02_28, 1:30PM","2022_02_28, 2:45PM",D12_2,24.45,205.42,36.52,12.07,
0222_A,"2022_02_18, 10:26AM","2022_02_28, 1:30PM","2022_02_28, 2:45PM",D12_3,24.18,204.18,36.24,12.06,
0222_A,"2022_02_18, 10:26AM","2022_03_05, 3:05PM","2022_03_05, ~5:30PM",D17_1,23.63,200.3,35.67,12.04,
0222_A,"2022_02_18, 10:26AM","2022_03_05, 3:05PM","2022_03_05, ~5:30PM",D17_2,24.21,202.24,36.28,12.07,
0222_A,"2022_02_18, 10:26AM","2022_03_05, 3:05PM","2022_03_05, ~5:30PM",D17_3,24.28,201.94,36.26,11.98,
0222_A,"2022_02_18, 10:26AM","2022_03_10, 1:00PM","2022_03_10, 3:30PM",D22_1,23.59,200.47,35.67,12.08,
0222_A,"2022_02_18, 10:26AM","2022_03_10, 1:00PM","2022_03_10, 3:30PM",D22_2,23.82,202.68,35.8,11.98,Buffer spill
0222_A,"2022_02_18, 10:26AM","2022_03_10, 1:00PM","2022_03_10, 3:30PM",D22_3,23.93,210.49,35.85,11.92,
0222_B,"2022_02_19, 1:00PM","2022_02_19, 1:30PM","2022_02_19, 3:45PM",H_1,26.74,199.46,,,Picked up samples from Fedex on Warren road
0222_B,"2022_02_19, 1:00PM","2022_02_19, 1:30PM","2022_02_19, 3:45PM",H_2,26.3,203.03,,,Picked up samples from Fedex on Warren road
0222_B,"2022_02_19, 1:00PM","2022_02_19, 1:30PM","2022_02_19, 3:45PM",H_3,26.34,204.42,,,Picked up samples from Fedex on Warren road
0222_B,"2022_03_03, 10:50AM","2022_03_03, 12:50PM","2022_03_03, 2:00PM",DI_1,24.87,236.47,37.13,12.26,
0222_B,"2022_03_03, 10:50AM","2022_03_03, 12:50PM","2022_03_03, 2:00PM",DI_2,25.11,201.18,37.22,12.11,
0222_B,"2022_03_03, 10:50AM","2022_03_03, 12:50PM","2022_03_03, 2:00PM",DI_3,26,199.66,38,12,
0222_B,"2022_03_03, 10:50AM","2022_03_08, 12:45PM","2022_03_08, ~1:50PM",D7_1,25.01,201.96,37.09,12.08,
0222_B,"2022_03_03, 10:50AM","2022_03_08, 12:45PM","2022_03_08, ~1:50PM",D7_2,25.36,201.54,37.47,12.11,
0222_B,"2022_03_03, 10:50AM","2022_03_08, 12:45PM","2022_03_08, ~1:50PM",D7_3,24.93,211.31,36.94,12.01,
0222_B,"2022_03_03, 10:50AM","2022_03_13, 12:25PM","2022_03_13, 2:25PM",D12_1,25.58,201.66,37.76,12.18,
0222_B,"2022_03_03, 10:50AM","2022_03_13, 12:25PM","2022_03_13, 2:25PM",D12_2,24.53,199.35,36.61,12.08,
0222_B,"2022_03_03, 10:50AM","2022_03_13, 12:25PM","2022_03_13, 2:25PM",D12_3,24.53,199.57,36.61,12.08,
0222_B,"2022_03_03, 10:50AM","2022_03_18, ~2:00PM","2022_03_18, ~4:15PM",D17_1,24.79,209.1,36.85,12.06,
0222_B,"2022_03_03, 10:50AM","2022_03_18, ~2:00PM","2022_03_18, ~4:15PM",D17_2,25.81,198.62,37.84,12.03,
0222_B,"2022_03_03, 10:50AM","2022_03_18, ~2:00PM","2022_03_18, ~4:15PM",D17_3,25.18,198.38,37.19,12.01,
0222_B,"2022_03_03, 10:50AM","2022_03_23, 12:00PM","2022_03_23, time not recorded",D22_1,24.61,204.11,36.63,12.02,
0222_B,"2022_03_03, 10:50AM","2022_03_23, 12:00PM","2022_03_23, time not recorded",D22_2,24.6,212.47,36.66,12.06,
