sampling_code,sample_type,location,paired,date_of_last_irrigation_yyyy_mm_dd,date_of_harvest_yyyy_mm_dd,time_harvest_started_hh:mm,date_of_arrival_yyyy_mm_dd,time_of_arrival_hh:mm,date_of_packaging,time_of_packaging
1221_A,r,FL,yes,not_collected,2021_12_14,7:00,NA,NA,NA,NA
1221_A,f,FL,yes,not_collected,2021_12_14,7:00,2021_12_15,21:35,2021_12_16,19:55
0122_A,f,AZ,no,2022_01_01,2022_01_02,not_collected,2022_01_06,17:46,2022_01_07,18:00-18:45
0122_B,r,AZ,yes,2022_01_07,2022_01_10,18:30,NA,NA,NA,NA
0122_B,f,AZ,yes,2022_01_07,2022_01_10,18:30,2022_01_13,6:51,2022_01_14,22:17
0222_A,r,AZ,yes,2022_01_31,2022_02_07,12:00,NA,NA,NA,NA
0222_A,f,AZ,yes,2022_01_31,2022_02_07,12:00,2022_02_10,6:56,2022_02_16,18:16
0222_B,r,AZ,yes,2022_02_16,2022_02_17,22:45,NA,NA,NA,NA
0222_B,f,AZ,yes,2022_02_16,2022_02_17,22:45,2022_02_21,14:45,2022_03_01,18:20
0322_A,r,AZ,yes,2022_03_04,2022_03_06,18:00,NA,NA,NA,NA
0322_A,f,AZ,yes,2022_03_04,2022_03_06,18:00,2022_03_10,14:17,2022_03_16,22:03
0322_B,r,AZ,yes,2022_03_12,2022_03_13,18:00,NA,NA,NA,NA
0322_B,f,AZ,yes,2022_03_12,2022_03_13,18:00,2022_03_17,22:55,2022_03_22,17:44
0422_A,r,AZ,no,2022_04_02,2022_04_03,20:00,NA,NA,NA,NA
0422_A,f,AZ,no,2022_04_11,2022_04_13,not_collected,2022_04_21,23:58,2022_04_23,18:32
0422_B,r,CA,yes,2022_04_15,2022_04_18,8:30,NA,NA,NA,NA
0422_B,f,CA,yes,2022_04_15,2022_04_18,8:30,2022_04_21,12:24,2022_04_29,19:08
0522_A,r,CA,yes,2022_04_30,2022_05_02,2:00,NA,NA,NA,NA
0522_A,f,CA,yes,2022_04_30,2022_05_02,2:00,2022_05_06,13:10,2022_05_10,19:00
0522_B,r,CA,yes,2022_05_07,2022_05_09,3:00,NA,NA,NA,NA
0522_B,f,CA,yes,2022_05_07,2022_05_09,3:00,2022_05_12,12:14,2022_05_18,21:16
0522_C,r,CA,yes,2022_05_26,2022_05_26,3:30,NA,NA,NA,NA
0522_C,f,CA,yes,2022_05_26,2022_05_26,3:30,2022_06_01,8:37,2022_06_04,23:57
0622_A,r,CA,yes,2022_06_04,2022_06_06,4:00,NA,NA,NA,NA
0622_A,f,CA,yes,2022_06_04,2022_06_06,4:00,2022_06_09,8:40,2022_06_16,13:46
0622_B,r,CA,no,2022_06_11,2022_06_13,12:30,NA,NA,NA,NA
0622_B,f,CA,no,2022_06_18,2022_06_20,not_collected,2022_06_23,14:18,2022_06_25,19:25
0722_A,r,CA,no,2022_07_09,2022_07_11,12:00,NA,NA,NA,NA
0722_A,f,CA,no,2022_07_12,2022_07_15,not_collected,2022_07_18,10:14,2022_07_21,17:33
0722_B,r,CA,no,2022_07_11,2022_07_14,12:30,NA,NA,NA,NA
0822_A,r,CA,yes,2022_08_06,2022_08_08,3:30,NA,NA,NA,NA
0822_A,f,CA,yes,2022_08_06,2022_08_08,3:30,2022_08_11,8:40,2022_08_12,19:19
0822_B,f,CA,no,2022_08_25,2022_08_27,not_collected,2022_08_30,22:20,2022_08_31,21:59
0922_A,r,CA,yes,2022_09_08,2022_09_12,1:00,NA,NA,NA,NA
0922_A,f,CA,yes,2022_09_08,2022_09_12,1:00,2022_09_16,8:17,2022_09_17,18:02
0922_B,r,CA,no,2022_09_24,2022_09_26,3:00,NA,NA,NA,NA
0922_B,f,CA,no,not_collected,not_collected,not_collected,2022_09_22,9:16,2022_09_24,21:13
1022_A,r,CA,yes,2022_10_01,2022_10_03,1:00,NA,NA,NA,NA
1022_A,f,CA,yes,2022_10_01,2022_10_03,1:00,2022_10_07,11:36,2022_10_13,21:40
1022_B,r,CA,yes,2022_10_15,2022_10_17,1:00,NA,NA,NA,NA
1022_B,f,CA,yes,2022_10_15,2022_10_17,1:00,2022_10_20,10:26,2022_10_22,22:02
1122_A,f,CA,no,2022_11_02,2022_11_04,not_collected,2022_11_07,21:28,2022_11_09,19:58
1122_B,f,GA,no,not_collected,not_collected,not_collected,2022_11_23,12:26,2022_11_23,21:39
1222_A,r,AZ,yes,2022_11_22,2022_12_02,2:00,NA,NA,NA,NA
1222_A,f,AZ,yes,2022_11_22,2022_12_02,2:00,2022_12_05,7:32,2022_12_05,23:32
1222_B,r,AZ,yes,2022_12_02,2022_12_08 & 2022_12_09,2:10,NA,NA,NA,NA
1222_B,f,AZ,yes,2022_12_02,2022_12_08 & 2022_12_09,2:10,2022_12_12,15:48,2022_12_13,18:35
1222_C,r,AZ,no,2022_12_17,2022_12_19,1:30,NA,NA,NA,NA
