"sampling_code","day","sample_replicate","test","log_conc","loc","hr_harvest_testing","date_of_harvest","days_since_last_irrigation"
"1221_A","H","1","APC",5.6764684679072,"FL",28.75,"2021-12-14",NA
"1221_A","H","2","APC",5.99256893576962,"FL",28.75,"2021-12-14",NA
"1221_A","H","3","APC",5.98851715290811,"FL",28.75,"2021-12-14",NA
"1221_A","H","1","GN",5.02325595413185,"FL",28.75,"2021-12-14",NA
"1221_A","H","2","GN",5.01484533048077,"FL",28.75,"2021-12-14",NA
"1221_A","H","3","GN",5.18688480667494,"FL",28.75,"2021-12-14",NA
"1221_A","H","1","PC",5.02325595413185,"FL",28.75,"2021-12-14",NA
"1221_A","H","2","PC",5.49196658520043,"FL",28.75,"2021-12-14",NA
"1221_A","H","3","PC",5.48791480233893,"FL",28.75,"2021-12-14",NA
"0122_B","H","1","APC",3.939334755584,"AZ",16.5,"2022-01-10",3
"0122_B","H","2","APC",3.66644545308612,"AZ",16.5,"2022-01-10",3
"0122_B","H","3","APC",4.14003716358746,"AZ",16.5,"2022-01-10",3
"0122_B","H","1","GN",3.33727476425603,"AZ",16.5,"2022-01-10",3
"0122_B","H","2","GN",3.36541545742214,"AZ",16.5,"2022-01-10",3
"0122_B","H","3","GN",3.36188591320382,"AZ",16.5,"2022-01-10",3
"0122_B","H","1","PC",3.63830475992002,"AZ",16.5,"2022-01-10",3
"0122_B","H","2","PC",3.66644545308612,"AZ",16.5,"2022-01-10",3
"0122_B","H","3","PC",3.96394590453178,"AZ",16.5,"2022-01-10",3
"0222_A","H","1","APC",4.19420589408406,"AZ",33.25,"2022-02-07",7
"0222_A","H","2","APC",4.21337677218416,"AZ",33.25,"2022-02-07",7
"0222_A","H","3","APC",4.17013608581314,"AZ",33.25,"2022-02-07",7
"0222_A","H","1","GN",2.097295881076,"AZ",33.25,"2022-02-07",7
"0222_A","H","2","GN",2.31483441294294,"AZ",33.25,"2022-02-07",7
"0222_A","H","3","GN",2.04956215460729,"AZ",33.25,"2022-02-07",7
"0222_A","H","1","PC",3.097295881076,"AZ",33.25,"2022-02-07",7
"0222_A","H","2","PC",3.12495486940162,"AZ",33.25,"2022-02-07",7
"0222_A","H","3","PC",3.31437997761682,"AZ",33.25,"2022-02-07",7
"0222_B","H","1","APC",4.2060847986163,"AZ",36.75,"2022-02-17",1
"0222_B","H","2","APC",4.10187312479539,"AZ",36.75,"2022-02-17",1
"0222_B","H","3","APC",3.96373405873028,"AZ",36.75,"2022-02-17",1
"0222_B","H","1","GN",3.62193639659704,"AZ",36.75,"2022-02-17",1
"0222_B","H","2","GN",3.06598638826101,"AZ",36.75,"2022-02-17",1
"0222_B","H","3","GN",2.42684459900713,"AZ",36.75,"2022-02-17",1
"0222_B","H","1","PC",3.94227154745641,"AZ",36.75,"2022-02-17",1
"0222_B","H","2","PC",3.55328897928016,"AZ",36.75,"2022-02-17",1
"0222_B","H","3","PC",3.18558280834663,"AZ",36.75,"2022-02-17",1
"0322_A","H","1","APC",3.91246028216613,"AZ",39.25,"2022-03-06",2
"0322_A","H","2","APC",4.12851423817309,"AZ",39.25,"2022-03-06",2
"0322_A","H","3","APC",4.0659089971172,"AZ",39.25,"2022-03-06",2
"0322_A","H","1","GN",2.76533271904577,"AZ",39.25,"2022-03-06",2
"0322_A","H","2","GN",3.22821715136531,"AZ",39.25,"2022-03-06",2
"0322_A","H","3","GN",3.4768139829536,"AZ",39.25,"2022-03-06",2
"0322_A","H","1","PC",3.62615354332286,"AZ",39.25,"2022-03-06",2
"0322_A","H","2","PC",3.61487614962766,"AZ",39.25,"2022-03-06",2
"0322_A","H","3","PC",3.88485431852996,"AZ",39.25,"2022-03-06",2
"0322_B","H","1","APC",5.61042961473788,"AZ",38,"2022-03-13",1
"0322_B","H","2","APC",4.27498009744587,"AZ",38,"2022-03-13",1
"0322_B","H","3","APC",4.69332434963576,"AZ",38,"2022-03-13",1
"0322_B","H","1","GN",5.04430420290572,"AZ",38,"2022-03-13",1
"0322_B","H","2","GN",3.74137748677376,"AZ",38,"2022-03-13",1
"0322_B","H","3","GN",4.35486785603116,"AZ",38,"2022-03-13",1
"0322_B","H","1","PC",5.57226247371533,"AZ",38,"2022-03-13",1
"0322_B","H","2","PC",4.14506982433489,"AZ",38,"2022-03-13",1
"0322_B","H","3","PC",4.69729053685337,"AZ",38,"2022-03-13",1
"0422_A","H","1","APC",6.37929838187062,"AZ",76,"2022-04-03",1
"0422_A","H","2","APC",6.12175139674504,"AZ",76,"2022-04-03",1
"0422_A","H","3","APC",6.60946563402581,"AZ",76,"2022-04-03",1
"0422_A","H","1","GN",6.12301471337245,"AZ",76,"2022-04-03",1
"0422_A","H","2","GN",5.91235295567832,"AZ",76,"2022-04-03",1
"0422_A","H","3","GN",6.48170373808113,"AZ",76,"2022-04-03",1
"0422_A","H","1","PC",6.52398117667467,"AZ",76,"2022-04-03",1
"0422_A","H","2","PC",6.11142812165469,"AZ",76,"2022-04-03",1
"0422_A","H","3","PC",6.55312143906388,"AZ",76,"2022-04-03",1
"0422_B","H","1","APC",3.87153728305642,"CA",47.5,"2022-04-18",3
"0422_B","H","2","APC",4.35529873913653,"CA",47.5,"2022-04-18",3
"0422_B","H","3","APC",3.98282336465706,"CA",47.5,"2022-04-18",3
"0422_B","H","1","GN",3.08199744374337,"CA",47.5,"2022-04-18",3
"0422_B","H","2","GN",2.26254468589963,"CA",47.5,"2022-04-18",3
"0422_B","H","3","GN",2.96509459769663,"CA",47.5,"2022-04-18",3
"0422_B","H","1","PC",3.53871545296859,"CA",47.5,"2022-04-18",3
"0422_B","H","2","PC",4.11641665022139,"CA",47.5,"2022-04-18",3
"0422_B","H","3","PC",3.73869822032955,"CA",47.5,"2022-04-18",3
"0522_A","H","1","APC",4.15315046597594,"CA",36.25,"2022-05-02",2
"0522_A","H","2","APC",4.35125788857366,"CA",36.25,"2022-05-02",2
"0522_A","H","3","APC",4.07596895723321,"CA",36.25,"2022-05-02",2
"0522_A","H","1","GN",3.25807845099984,"CA",36.25,"2022-05-02",2
"0522_A","H","2","GN",4.03107753881445,"CA",36.25,"2022-05-02",2
"0522_A","H","3","GN",3.45338729876065,"CA",36.25,"2022-05-02",2
"0522_A","H","1","PC",3.87318129889378,"CA",36.25,"2022-05-02",2
"0522_A","H","2","PC",4.04336143395676,"CA",36.25,"2022-05-02",2
"0522_A","H","3","PC",3.58527489532428,"CA",36.25,"2022-05-02",2
"0522_B","H","1","APC",4.44597590464734,"CA",29.15,"2022-05-09",2
"0522_B","H","2","APC",5.19586722280927,"CA",29.15,"2022-05-09",2
"0522_B","H","3","APC",5.02384684281154,"CA",29.15,"2022-05-09",2
"0522_B","H","1","GN",4.12375660991342,"CA",29.15,"2022-05-09",2
"0522_B","H","2","GN",5.14101855480193,"CA",29.15,"2022-05-09",2
"0522_B","H","3","GN",3.39912286684763,"CA",29.15,"2022-05-09",2
"0522_B","H","1","PC",4.80800335742874,"CA",29.15,"2022-05-09",2
"0522_B","H","2","PC",5.14240829832993,"CA",29.15,"2022-05-09",2
"0522_B","H","3","PC",4.18875393491471,"CA",29.15,"2022-05-09",2
"0522_C","H","1","APC",4.80801116633112,"CA",30.25,"2022-05-26",0
"0522_C","H","2","APC",4.67315007889845,"CA",30.25,"2022-05-26",0
"0522_C","H","3","APC",4.80429036820509,"CA",30.25,"2022-05-26",0
"0522_C","H","1","GN",3.86935963524373,"CA",30.25,"2022-05-26",0
"0522_C","H","2","GN",3.21661535496057,"CA",30.25,"2022-05-26",0
"0522_C","H","3","GN",3.89692759710184,"CA",30.25,"2022-05-26",0
"0522_C","H","1","PC",4.18446225916942,"CA",30.25,"2022-05-26",0
"0522_C","H","2","PC",3.83640411324896,"CA",30.25,"2022-05-26",0
"0522_C","H","3","PC",4.03634415707876,"CA",30.25,"2022-05-26",0
"0622_A","H","1","APC",5.26809209090907,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","2","APC",4.70900906816763,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","3","APC",4.5609512727037,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","1","GN",4.94032784199784,"CA",28.6666666666667,"2022-06-06",2
