"sampling_code","sample_name","sample_mass_g","buffer_volume_ml","total_bag_mass","bag_mass","notes"
"0222_B","D22_NC",0,200.76,NA,NA,""
"0322_A","D7_NC",0,201.03,NA,NA,""
"0322_A","D12_NC",0,204.67,NA,NA,""
"0322_A","D17_NC",0,203.77,NA,NA,""
"0322_A","D22_NC",NA,199.28,NA,NA,""
"0322_B","DI_NC",NA,202.94,NA,NA,""
"0322_B","D7_NC",NA,202.38,NA,12.01,""
"0322_B","D12_NC",0,204.85,NA,NA,""
"0322_B","D17_NC",0,199.43,NA,NA,""
"0322_B","D22_NC",0,205.08,NA,NA,""
"0422_A","H_NC",0,206.45,NA,NA,""
"0422_A","DI_NC",NA,202.65,NA,NA,""
"0422_A","D7_NC",0,207.04,NA,NA,""
"0422_A","D12_NC",0,213.66,NA,NA,""
"0422_A","D17_NC",0,201.77,NA,NA,""
"0422_B","H_NC",NA,200,NA,NA,"Forgot to take down the actual buffer volume. Assuming it is 200mL, based on the instructions in the protocol to measure 200mL of buffer"
"0422_B","DI_NC",NA,199.04,NA,NA,""
"0422_B","D7_NC",NA,204.54,NA,NA,""
"0422_B","D12_NC",NA,204.99,NA,NA,""
"0522_A","H_NC",NA,207.43,NA,NA,""
"0522_A","DI_NC",NA,200.97,NA,NA,""
"0522_A","D7_NC",NA,200.65,NA,NA,""
"0522_B","H_NC",NA,202.61,NA,NA,""
"0522_B","DI_NC",NA,203.21,NA,NA,""
"0522_B","D7_NC",NA,202.54,NA,NA,""
"0522_B","D12_NC",NA,200.14,NA,NA,""
"0522_B","D17_NC",NA,198.99,NA,NA,""
"0522_B","D22_NC",NA,204.48,NA,NA,""
"0522_C","H_NC",NA,201.78,NA,NA,""
"0522_C","DI_NC",NA,198.02,NA,NA,""
"0522_C","D7_NC",NA,201.66,NA,NA,""
"0522_C","D12_NC",NA,203.18,NA,NA,""
"0522_C","D17_NC",NA,199.54,NA,NA,""
"0522_C","D22_NC",NA,222.29,NA,NA,""
"0622_A","H_NC",NA,205.95,NA,NA,""
"0622_A","DI_NC",NA,203.84,NA,NA,""
"0622_A","D7_NC",NA,199.59,NA,NA,""
"0622_A","D12_NC",NA,215.92,NA,NA,""
"0622_A","D17_NC",NA,201.71,NA,NA,""
"0622_A","D22_NC",NA,198.32,NA,NA,""
"0622_B","H_NC",NA,210.53,NA,NA,""
"0622_B","DI_NC",NA,200.12,NA,NA,""
"0622_B","D7_NC",NA,199.47,NA,NA,""
"0622_B","D12_NC",NA,200.85,NA,NA,""
"0622_B","D17_NC",NA,220.44,NA,NA,""
"0622_B","D22_NC",NA,200.17,NA,NA,""
"0722_A","H_NC",NA,217.07,NA,NA,""
"0722_A","DI_NC",NA,203.09,NA,NA,""
"0722_A","D7_NC",NA,200.59,NA,NA,""
"0722_A","D12_NC",NA,199.71,NA,NA,""
"0722_A","D17_NC",NA,199.99,NA,NA,""
"0722_A","D22_NC",NA,200.03,NA,NA,""
"0722_B","H_NC",NA,201.73,NA,NA,"Samples stored on farm for 4 days before shipping to Ithaca"
"0822_A","H_NC",NA,220.67,NA,NA,""
"0822_A","DI_NC",NA,199.85,NA,NA,""
"0822_A","D7_NC",NA,201.96,NA,NA,""
"0822_A","D12_NC",NA,211.3,NA,NA,""
