"sampling_code","sample_type","temp_mean_1d","temp_mean_2d","temp_mean_3d","temp_mean_4d_7d","temp_min_1d","temp_min_2d","temp_min_3d","temp_min_4d_7d","temp_max_1d","temp_max_2d","temp_max_3d","temp_max_4d_7d","dew_mean_1d","dew_mean_2d","dew_mean_3d","dew_mean_4d_7d","precip_sum_1d_3d","precip_sum_4d_7d","windspeed_mean_1d","windspeed_mean_2d","windspeed_mean_3d","windspeed_mean_4d_7d","srad_mean_1d","srad_mean_2d","srad_mean_3d","srad_mean_4d_7d"
"0122_A","f",10.0666666666667,13.4666666666667,12.9375,11.3520833333333,4.8,11.1,9.5,4.4,14.4,16.5,16.9,18.2,-6.6375,10.8458333333333,9.28333333333333,3.01458333333333,2.9,0,14.3041666666667,10.1916666666667,13.7,9.328125,156.520833333333,89.225,107.083333333333,116.591666666667
"0122_B","rf",16.66,13.5833333333333,13.7916666666667,12.1604166666667,11.9,7,8.7,3.4,22,22.5,20.5,21.7,-3.428,3.54166666666667,4.62916666666667,-2.49375,0,0,12.444,4.825,4.64166666666667,6.32083333333333,121.16,152.883333333333,138.483333333333,148.283333333333
"0222_A","rf",16.9125,11.8333333333333,11.1958333333333,12.4895833333333,9.4,3.2,3,3.2,24.1,20.3,18.7,21.8,-9.78333333333333,-10.2875,-12.3958333333333,-10.7697916666667,0,0,10.7375,6.52916666666667,9.95,13.1666666666667,201.333333333333,200.416666666667,200.333333333333,167.052083333333
"0222_B","rf",14.788,13.4958333333333,16.3541666666667,19.2510416666667,9.2,7.7,8.9,8.5,20.7,19,24.8,29.4,-2.484,1.27083333333333,-4.125,-6.409375,0,0,11.42,13.1625,12.9791666666667,7.60104166666667,211.44,208.958333333333,209.916666666667,211.46875
"0322_A","rf",12.6166666666667,15.0833333333333,18.2458333333333,19.95625,8.3,7.7,11.7,9.1,18.4,19.7,26.7,30,-0.375,2.4625,2.19583333333333,-8.10520833333333,0,0,14.3708333333333,13.0041666666667,13.1125,9.21979166666667,253.958333333333,242.791666666667,155.041666666667,235.916666666667
"0322_B","rf",18.1833333333333,16.5791666666667,15.1041666666667,14.35625,7.8,6.1,9.7,4.8,27.7,25.5,21.5,23.7,-5.05416666666667,-10.3916666666667,-15.6041666666667,-6.196875,0,0,8.16666666666667,6.9,17.1958333333333,11.2604166666667,263.958333333333,271.125,271.75,254.59375
"0422_A","f",17.0875,22.1125,24.2875,27.0145833333333,9.5,16,16,16.4,22.6,29.4,32,36.5,-5.6125,7.85,7.91666666666667,-5.08333333333333,0,0,16.6416666666667,14.2333333333333,10.9541666666667,12.3895833333333,307.208333333333,304.916666666667,298,302.4375
"0422_A","r",21.6541666666667,21.7291666666667,20.8625,21.1989583333333,13.2,13.4,13.6,10.7,29,28.7,27.7,32.3,5.11666666666667,5.2875,5.14583333333333,4.57916666666667,0,3.4,9.3875,7,7.21666666666667,13.6354166666667,297.416666666667,295.791666666667,272.875,246.458333333333
"0422_B","rf",10.5,11.9625,13.7041666666667,11.3864583333333,4.5,7.9,11,3.7,16.3,17.4,19.5,17.7,4.968,7.975,8.07083333333333,4.29895833333333,9.944,1.622,10.38,14.9791666666667,11.6208333333333,14.0229166666667,291.8,311.708333333333,300.041666666667,263.21875
"0522_A","rf",15.4166666666667,15.375,14.8208333333333,14.425,9.3,5.7,4.4,6.8,23.1,24.3,23.9,25.1,5.44583333333333,5.8125,3.8875,4.67604166666667,0,0,16.5875,17.2458333333333,11.6875,18.3395833333333,268.708333333333,268.375,247.416666666667,319.625
"0522_B","rf",12.7458333333333,15.8375,17.9,15.7302083333333,7.2,9.4,9.3,5.4,19.6,23.2,26.2,25.9,1.8875,6.875,8.05416666666667,4.01770833333333,0,0,25.1333333333333,21.7041666666667,14.7416666666667,12.70625,312.916666666667,348.5,335.458333333333,302.145833333333
"0522_C","rf",15.96,18.1291666666667,14.975,14.6604166666667,12,9,10.1,8.8,22.2,26,19.9,21,9.964,8.10833333333333,7.84583333333333,6.878125,0,0,11.532,7.9,14.1333333333333,14.9541666666667,332.52,349.916666666667,350.083333333333,350.84375
"0622_A","rf",20.7958333333333,18.7791666666667,18.2208333333333,17.2375,14.8,13.5,13,9.5,26.9,24.9,25.2,26.2,13.3458333333333,8.83333333333333,11.4375,6.00729166666667,0.17,0,12.675,11.8375,12.9083333333333,13.9708333333333,296.875,263.625,265.75,341.958333333333
"0622_B","f",17.3083333333333,16.0958333333333,16.0083333333333,17.8541666666667,10.5,11.4,12.6,9.5,23.4,21.4,21.2,25.8,6.7625,7.16666666666667,7.81666666666667,6.8125,0,0,13.2583333333333,16.7375,15.8458333333333,15.3802083333333,359.5,360.5,319.458333333333,361.90625
"0622_B","r",20.6458333333333,24.2208333333333,24.6625,19.3677083333333,13.4,15.8,15,10.5,28.7,31.3,32.8,29.3,13.3625,12.15,11.1083333333333,9.2625,0,0,16.9791666666667,13.7,10.5125,14.8875,348.375,364.583333333333,355,329.802083333333
"0722_A","f",19.5375,19.5041666666667,18.8291666666667,20.3822916666667,13.9,14.3,14.6,13.7,27.9,27.2,24.5,29.2,10.9625,11.9208333333333,12.225,11.1802083333333,0,0,14.7458333333333,11.8,14.8875,13.6177083333333,358.5,367.458333333333,277.125,342.760416666667
"0722_A","r",21.9625,20.9833333333333,20.825,20.275,14.7,13.6,14.4,11.1,32,29.1,28.7,27.7,10.3958333333333,11.2375,11.1916666666667,12.1854166666667,0,0,11.8958333333333,16.0833333333333,15.2375,13.8854166666667,323.416666666667,403.916666666667,357.375,306.760416666667
"0722_B","r",19.256,18.5208333333333,19.85,19.65625,14,14.7,14.7,13.7,26.4,24,27.8,27.6,12.028,12.3416666666667,12.1291666666667,11.2760416666667,0,0,11.632,14.1541666666667,12.3666666666667,13.328125,384.76,266.041666666667,281,358.947916666667
"0822_A","rf",16.42,16.9833333333333,17.3583333333333,18.071875,13.1,14.3,15.3,13.8,20.2,20.9,21,25.8,10.528,11.2208333333333,11.7458333333333,12.4020833333333,0,0.142,12.848,11.575,12.7458333333333,10.9885416666667,321.48,303.541666666667,312.458333333333,256.8125
"0822_B","f",20.1375,20.2791666666667,20.1583333333333,20.8479166666667,13.9,13.9,13.8,13.9,28.8,28.2,28.1,39.4,11.2708333333333,12.2041666666667,11.3916666666667,11.890625,0,0,10.6458333333333,11.0708333333333,10.9625,12.8791666666667,241.25,258.166666666667,315.416666666667,297.71875
"0922_A","rf",23.2333333333333,20.0208333333333,19.1958333333333,22.1239583333333,20.1,16.3,15.8,15.2,27.7,24.1,25,33.7,14.2833333333333,15.7208333333333,13.725,12.79375,0,0,9.4125,9.39583333333333,9.80416666666667,8.25520833333333,189.583333333333,145.291666666667,237,258.28125
"0922_B","r",15.3125,15.6791666666667,17.4458333333333,16.925,13.4,10.5,10.4,11.5,19.2,22,24.9,23.5,11.7291666666667,11.1583333333333,9.94166666666667,11.5614583333333,0,3.745,8.3125,9.41666666666667,7.29583333333333,10.2479166666667,236.25,255.291666666667,260.791666666667,219.979166666667
"1022_A","rf",16.4958333333333,14.8125,15.425,15.5114583333333,14.1,12.5,10.5,11.2,20.6,17.9,22.3,22,10.4958333333333,11.2958333333333,11.3166666666667,11.3166666666667,0,0,7.57083333333333,9.725,9.61666666666667,9.22291666666667,178.333333333333,197.458333333333,248.291666666667,235.8125
"1022_B","rf",16.7208333333333,15.3083333333333,11.7458333333333,12.33125,13,13.3,9.1,9.7,19.8,18,13.8,18.1,11.025,12.0375,9.75416666666667,9.69270833333333,0,0,6.77916666666667,7.28333333333333,8.98333333333333,7.740625,158,194.083333333333,210.75,203.458333333333
"1122_A","f",7.0375,8.09166666666667,10.075,10.4510416666667,2.6,4.3,7,0.7,12,12.8,15.3,20.3,0.691666666666667,3.62916666666667,6.50416666666667,6.25625,6.235,0,7.85,10.6875,11.3958333333333,7.77291666666667,190.375,126.083333333333,101.791666666667,153.541666666667
"1222_A","rf",13.95,13.2541666666667,15.4416666666667,14.125,6.2,6.3,9,5.1,19.9,20.8,21.2,22.8,3.725,1.47916666666667,3.39166666666667,-2.42083333333333,0,0,11.75,5.17916666666667,10.9958333333333,9.43333333333333,135.166666666667,137.125,137.375,145.447916666667
"1222_B","rf",11.468,12.1666666666667,14.4333333333333,14.1927083333333,4.3,6.7,10.2,8.7,18.6,18.9,19.3,20.7,-0.312,2.94166666666667,4.21666666666667,9.05,0,4.1,4.892,5.21666666666667,7.94583333333333,4.88333333333333,152.52,138.833333333333,145.375,89.03125
"1222_C","r",11.616,9.61666666666667,11.4,9.171875,4.8,0.8,7.9,1.8,17.6,16.2,15.8,16.5,-6.488,-7.24166666666667,-5.68333333333333,0.367708333333333,0,0,5.064,7.05833333333333,11.4666666666667,6.88125,126.4,140.625,107.291666666667,137.6875
