"sampling_code","sample_type","location","paired","date_of_last_irrigation_yyyy_mm_dd","date_of_harvest_yyyy_mm_dd","time_harvest_started_hh.mm","date_of_arrival_yyyy_mm_dd","time_of_arrival_hh.mm","date_of_packaging","time_of_packaging","date_time_harvest_local","date_time_harvest_utc","date_time_packaging_local","date_time_packaging_utc","date_time_arrival_local","date_time_arrival_utc"
"1221_A","r","FL","yes",NA,"2021-12-14","7:00",NA,NA,NA,NA,"2021-12-14 7:00","2021-12-14 12:00:00",NA,NA,NA,NA
"1221_A","f","FL","yes",NA,"2021-12-14","7:00","2021_12_15","21:35","2021_12_16","19:55","2021-12-14 7:00","2021-12-14 12:00:00","2021-12-16 20:00:00","2021-12-17 01:00:00","2021-12-15 21:35:00","2021-12-16 02:35:00"
"0122_A","f","AZ","no","2022-01-01","2022-01-02","4:00","2022_01_06","17:46","2022_01_07","18:45","2022-01-02 4:00","2022-01-02 11:00:00","2022-01-07 19:00:00","2022-01-08 00:00:00","2022-01-06 17:46:00","2022-01-06 22:46:00"
"0122_B","r","AZ","yes","2022-01-07","2022-01-10","18:30",NA,NA,NA,NA,"2022-01-10 18:30","2022-01-11 01:30:00",NA,NA,NA,NA
"0122_B","f","AZ","yes","2022-01-07","2022-01-10","18:30","2022_01_13","6:51","2022_01_14","22:17","2022-01-10 18:30","2022-01-11 01:30:00","2022-01-14 22:00:00","2022-01-15 03:00:00","2022-01-13 06:51:00","2022-01-13 11:51:00"
"0222_A","r","AZ","yes","2022-01-31","2022-02-07","12:00",NA,NA,NA,NA,"2022-02-07 12:00","2022-02-07 19:00:00",NA,NA,NA,NA
"0222_A","f","AZ","yes","2022-01-31","2022-02-07","12:00","2022_02_10","6:56","2022_02_16","18:16","2022-02-07 12:00","2022-02-07 19:00:00","2022-02-16 18:00:00","2022-02-16 23:00:00","2022-02-10 06:56:00","2022-02-10 11:56:00"
"0222_B","r","AZ","yes","2022-02-16","2022-02-17","22:45",NA,NA,NA,NA,"2022-02-17 22:45","2022-02-18 05:45:00",NA,NA,NA,NA
"0222_B","f","AZ","yes","2022-02-16","2022-02-17","22:45","2022_02_21","14:45","2022_03_01","18:20","2022-02-17 22:45","2022-02-18 05:45:00","2022-03-01 18:00:00","2022-03-01 23:00:00","2022-02-21 14:45:00","2022-02-21 19:45:00"
"0322_A","r","AZ","yes","2022-03-04","2022-03-06","18:00",NA,NA,NA,NA,"2022-03-06 18:00","2022-03-07 01:00:00",NA,NA,NA,NA
"0322_A","f","AZ","yes","2022-03-04","2022-03-06","18:00","2022_03_10","14:17","2022_03_16","22:03","2022-03-06 18:00","2022-03-07 01:00:00","2022-03-16 22:00:00","2022-03-17 02:00:00","2022-03-10 14:17:00","2022-03-10 19:17:00"
"0322_B","r","AZ","yes","2022-03-12","2022-03-13","18:00",NA,NA,NA,NA,"2022-03-13 18:00","2022-03-14 01:00:00",NA,NA,NA,NA
"0322_B","f","AZ","yes","2022-03-12","2022-03-13","18:00","2022_03_17","22:55","2022_03_22","17:44","2022-03-13 18:00","2022-03-14 01:00:00","2022-03-22 18:00:00","2022-03-22 22:00:00","2022-03-17 22:55:00","2022-03-18 02:55:00"
"0422_A","r","AZ","no","2022-04-02","2022-04-03","4:00",NA,NA,NA,NA,"2022-04-03 4:00","2022-04-03 11:00:00",NA,NA,NA,NA
"0422_A","f","AZ","no","2022-04-11","2022-04-13","4:00","2022_04_21","23:58","2022_04_23","18:32","2022-04-13 4:00","2022-04-13 11:00:00","2022-04-23 19:00:00","2022-04-23 23:00:00","2022-04-21 23:58:00","2022-04-22 03:58:00"
"0422_B","r","CA","yes","2022-04-15","2022-04-18","8:30",NA,NA,NA,NA,"2022-04-18 8:30","2022-04-18 15:30:00",NA,NA,NA,NA
"0422_B","f","CA","yes","2022-04-15","2022-04-18","8:30","2022_04_21","12:24","2022_04_29","19:08","2022-04-18 8:30","2022-04-18 15:30:00","2022-04-29 19:00:00","2022-04-29 23:00:00","2022-04-21 12:24:00","2022-04-21 16:24:00"
"0522_A","r","CA","yes","2022-04-30","2022-05-02","2:00",NA,NA,NA,NA,"2022-05-02 2:00","2022-05-02 09:00:00",NA,NA,NA,NA
"0522_A","f","CA","yes","2022-04-30","2022-05-02","2:00","2022_05_06","13:10","2022_05_10","19:00","2022-05-02 2:00","2022-05-02 09:00:00","2022-05-10 19:00:00","2022-05-10 23:00:00","2022-05-06 13:10:00","2022-05-06 17:10:00"
"0522_B","r","CA","yes","2022-05-07","2022-05-09","3:00",NA,NA,NA,NA,"2022-05-09 3:00","2022-05-09 10:00:00",NA,NA,NA,NA
"0522_B","f","CA","yes","2022-05-07","2022-05-09","3:00","2022_05_12","12:14","2022_05_18","21:16","2022-05-09 3:00","2022-05-09 10:00:00","2022-05-18 21:00:00","2022-05-19 01:00:00","2022-05-12 12:14:00","2022-05-12 16:14:00"
"0522_C","r","CA","yes","2022-05-26","2022-05-26","3:30",NA,NA,NA,NA,"2022-05-26 3:30","2022-05-26 10:30:00",NA,NA,NA,NA
"0522_C","f","CA","yes","2022-05-26","2022-05-26","3:30","2022_06_01","8:37","2022_06_04","23:57","2022-05-26 3:30","2022-05-26 10:30:00","2022-06-05 00:00:00","2022-06-05 04:00:00","2022-06-01 08:37:00","2022-06-01 12:37:00"
"0622_A","r","CA","yes","2022-06-04","2022-06-06","4:00",NA,NA,NA,NA,"2022-06-06 4:00","2022-06-06 11:00:00",NA,NA,NA,NA
"0622_A","f","CA","yes","2022-06-04","2022-06-06","4:00","2022_06_09","8:40","2022_06_16","13:46","2022-06-06 4:00","2022-06-06 11:00:00","2022-06-16 14:00:00","2022-06-16 18:00:00","2022-06-09 08:40:00","2022-06-09 12:40:00"
"0622_B","r","CA","no","2022-06-11","2022-06-13","4:00",NA,NA,NA,NA,"2022-06-13 4:00","2022-06-13 11:00:00",NA,NA,NA,NA
"0622_B","f","CA","no","2022-06-18","2022-06-20","4:00","2022_06_23","14:18","2022_06_25","19:25","2022-06-20 4:00","2022-06-20 11:00:00","2022-06-25 19:00:00","2022-06-25 23:00:00","2022-06-23 14:18:00","2022-06-23 18:18:00"
"0722_A","r","CA","no","2022-07-09","2022-07-11","4:00",NA,NA,NA,NA,"2022-07-11 4:00","2022-07-11 11:00:00",NA,NA,NA,NA
"0722_A","f","CA","no","2022-07-12","2022-07-15","4:00","2022_07_18","10:14","2022_07_21","17:33","2022-07-15 4:00","2022-07-15 11:00:00","2022-07-21 18:00:00","2022-07-21 22:00:00","2022-07-18 10:14:00","2022-07-18 14:14:00"
"0722_B","r","CA","no","2022-07-11","2022-07-14","12:30",NA,NA,NA,NA,"2022-07-14 12:30","2022-07-14 19:30:00",NA,NA,NA,NA
"0822_A","r","CA","yes","2022-08-06","2022-08-08","3:30",NA,NA,NA,NA,"2022-08-08 3:30","2022-08-08 10:30:00",NA,NA,NA,NA
"0822_A","f","CA","yes","2022-08-06","2022-08-08","3:30","2022_08_11","8:40","2022_08_12","19:19","2022-08-08 3:30","2022-08-08 10:30:00","2022-08-12 19:00:00","2022-08-12 23:00:00","2022-08-11 08:40:00","2022-08-11 12:40:00"
"0822_B","f","CA","no","2022-08-25","2022-08-27","4:00","2022_08_30","22:20","2022_08_31","21:59","2022-08-27 4:00","2022-08-27 11:00:00","2022-08-31 22:00:00","2022-09-01 02:00:00","2022-08-30 22:20:00","2022-08-31 02:20:00"
"0922_A","r","CA","yes","2022-09-08","2022-09-12","1:00",NA,NA,NA,NA,"2022-09-12 1:00","2022-09-12 08:00:00",NA,NA,NA,NA
"0922_A","f","CA","yes","2022-09-08","2022-09-12","1:00","2022_09_16","8:17","2022_09_17","18:02","2022-09-12 1:00","2022-09-12 08:00:00","2022-09-17 18:00:00","2022-09-17 22:00:00","2022-09-16 08:17:00","2022-09-16 12:17:00"
"0922_B","r","CA","no","2022-09-24","2022-09-26","4:00",NA,NA,NA,NA,"2022-09-26 4:00","2022-09-26 11:00:00",NA,NA,NA,NA
"0922_B","f","CA","no",NA,NA,"4:00","2022_09_22","9:16","2022_09_24","21:13","not-collected 4:00",NA,"2022-09-24 21:00:00","2022-09-25 01:00:00","2022-09-22 09:16:00","2022-09-22 13:16:00"
"1022_A","r","CA","yes","2022-10-01","2022-10-03","1:00",NA,NA,NA,NA,"2022-10-03 1:00","2022-10-03 08:00:00",NA,NA,NA,NA
"1022_A","f","CA","yes","2022-10-01","2022-10-03","1:00","2022_10_07","11:36","2022_10_13","21:40","2022-10-03 1:00","2022-10-03 08:00:00","2022-10-13 22:00:00","2022-10-14 02:00:00","2022-10-07 11:36:00","2022-10-07 15:36:00"
"1022_B","r","CA","yes","2022-10-15","2022-10-17","1:00",NA,NA,NA,NA,"2022-10-17 1:00","2022-10-17 08:00:00",NA,NA,NA,NA
"1022_B","f","CA","yes","2022-10-15","2022-10-17","1:00","2022_10_20","10:26","2022_10_22","22:02","2022-10-17 1:00","2022-10-17 08:00:00","2022-10-22 22:00:00","2022-10-23 02:00:00","2022-10-20 10:26:00","2022-10-20 14:26:00"
"1122_A","f","CA","no","2022-11-02","2022-11-04","4:00","2022_11_07","21:28","2022_11_09","19:58","2022-11-04 4:00","2022-11-04 11:00:00","2022-11-09 20:00:00","2022-11-10 01:00:00","2022-11-07 21:28:00","2022-11-08 02:28:00"
"1122_B","f","GA","no",NA,NA,"4:00","2022_11_23","12:26","2022_11_23","21:39",NA,NA,"2022-11-23 22:00:00","2022-11-24 03:00:00","2022-11-23 12:26:00","2022-11-23 17:26:00"
"1222_A","r","AZ","yes","2022-11-22","2022-12-02","2:00",NA,NA,NA,NA,"2022-12-02 2:00","2022-12-02 10:00:00",NA,NA,NA,NA
"1222_A","f","AZ","yes","2022-11-22","2022-12-02","2:00","2022_12_05","7:32","2022_12_05","23:32","2022-12-02 2:00","2022-12-02 10:00:00","2022-12-06 00:00:00","2022-12-06 05:00:00","2022-12-05 07:32:00","2022-12-05 12:32:00"
"1222_B","r","AZ","yes","2022-12-02","2022-12-09","2:10",NA,NA,NA,NA,"2022-12-09 2:10","2022-12-09 09:10:00",NA,NA,NA,NA
"1222_B","f","AZ","yes","2022-12-02","2022-12-09","2:10","2022_12_12","15:48","2022_12_13","18:35","2022-12-09 2:10","2022-12-09 09:10:00","2022-12-13 19:00:00","2022-12-14 00:00:00","2022-12-12 15:48:00","2022-12-12 20:48:00"
"1222_C","r","AZ","no","2022-12-17","2022-12-19","1:30",NA,NA,NA,NA,"2022-12-19 1:30","2022-12-19 08:30:00",NA,NA,NA,NA
