"ca","az","mean_param","sd_param","mean_p_val","sd_p_val","no_null_reject"
4,4,0.382804171182049,0.122222793494684,0.235944432739453,0.251012871822669,23
4,5,0.34987760663737,0.107586019598594,0.194077709154711,0.228563555859139,39
4,6,0.32486749754386,0.0791985154219036,0.190898412195922,0.247852771161938,42
4,7,0.324320162841795,0.0731497913689113,0.138623665756752,0.194371813689364,57
4,8,0.323732829158139,0.0607015115086849,0.151287145730848,0.17607702326082,47
5,4,0.346629492521542,0.115018090968725,0.174384683295761,0.202077499821704,40
5,5,0.339115122141245,0.0875339798631782,0.207692907041879,0.243689109321359,36
5,6,0.319381224381835,0.0778931119085217,0.182570610126727,0.221168775294831,46
5,7,0.300472866772132,0.0525564518772375,0.119724842708989,0.164368313044364,59
5,8,0.29879482934426,0.0554027412243413,0.121822278871622,0.139881309690919,53
6,4,0.356135267595985,0.100932391249868,0.191442135977745,0.201335179270652,33
6,5,0.314332565152388,0.081979698231962,0.129229532383712,0.15059774794918,50
6,6,0.320090129826314,0.064232330279845,0.144031983771085,0.135333755083433,41
6,7,0.285178880808377,0.056590412912475,0.096043772587636,0.112217555197746,56
6,8,0.286128497695349,0.0452932424295592,0.0881023800595229,0.0988394883196768,53
7,4,0.351887129218012,0.0898768460482017,0.178501911003746,0.184247063310182,30
7,5,0.319895314790209,0.0656799089548897,0.15597495904324,0.166038521758981,39
7,6,0.299610217629844,0.0589664020907365,0.119969517679927,0.131963170142992,43
7,7,0.283336219743734,0.0548010646883869,0.0793528099760076,0.0906965545240292,50
7,8,0.265942948426356,0.041660878438005,0.0753277466567449,0.0784017862801981,52
8,4,0.3415614929719,0.0740786955389795,0.184818352290728,0.192172373277684,34
8,5,0.302948988479359,0.0651058759107536,0.094569544425375,0.117368630044376,50
8,6,0.285437233407849,0.0508292406036776,0.0989486203109648,0.10190046061865,43
8,7,0.274139573678803,0.0511803682597077,0.0662623952081188,0.0650574381144044,49
8,8,0.262364584943211,0.0403591359660775,0.0549866913364216,0.0560408014967861,53
9,4,0.335463376947774,0.0603321669564656,0.135440672471327,0.145360352451317,35
9,5,0.300999964058274,0.0587329494444164,0.109126277996502,0.117230977030459,39
9,6,0.283151266742846,0.0478119635858504,0.0820981552646736,0.0755573354583562,40
9,7,0.276220797964735,0.0390992907036402,0.0596664119483063,0.057357807874996,53
9,8,0.260320836575366,0.0369966445808798,0.0453624723017077,0.0351114731666284,60
10,4,0.327723877730689,0.0561574678321464,0.104819714232539,0.101535002849493,37
10,5,0.307244484770434,0.043809983772002,0.0916602762722667,0.0873869925604431,39
10,6,0.272665151362241,0.0443295341254357,0.062787573414147,0.0621163509413492,53
10,7,0.266412027849822,0.033218361884008,0.0574493869390998,0.0503192736457402,49
10,8,0.249014040839677,0.0336264383125388,0.0325853775722753,0.024533372675729,71
11,4,0.33036191400132,0.038630476178175,0.123803232435234,0.116188983658472,29
11,5,0.296120493851024,0.0415933874887503,0.0785578174547871,0.0807856944478948,53
11,6,0.278442876062944,0.0305154977662447,0.0561210988436864,0.0517203246569449,57
11,7,0.264153539787253,0.0263562753319849,0.0420152513350854,0.029851291351698,67
11,8,0.248888961087735,0.0228524998094414,0.0344712020018217,0.0207355634169787,77
12,4,0.324997662982287,0.0356830648245506,0.11374126579762,0.109096816217362,33
12,5,0.294133494290252,0.0310598596368859,0.0745499890216599,0.0763692985675331,52
12,6,0.273603623057223,0.0217910089210823,0.0582062538980682,0.051705279369545,54
12,7,0.256631968007197,0.0212248640489399,0.0356900636098185,0.0268070723373325,75
12,8,0.243442628228599,0.0181018953966685,0.0243538121070474,0.0151447125424633,91
