"sampling_code","n0","mumax","nmax","model","aic","bic","fit","test"
"0122_A",5.72659057750904,0.272518782887824,7.73859821052745,"buchanan_no_lag",-9.75485894686233,-11.3171072971259,"yes","apc"
"0122_B",3.9397252491511,0.821500479242829,7.08032506504569,"baranyi_no_lag",1.23556297502869,-0.326685375234904,"yes","apc"
"0222_A",4.81400233829577,0.531207446185994,8.37178069564202,"baranyi_no_lag",8.98648158269197,7.42423323242837,"yes","apc"
"0222_B",4.71854057577009,0.552143147271473,8.01112581523557,"baranyi_no_lag",4.24532889558642,2.68308054532282,"yes","apc"
"0322_A",4.56675149111246,0.691428748485667,7.84544252110326,"baranyi_no_lag",-4.68580251706154,-6.24805086732514,"yes","apc"
"0322_B",4.38482728613131,0.663583749141714,6.71039095506046,"buchanan_no_lag",-6.85152387937988,-8.41377222964348,"yes","apc"
"0422_A",6.41092816393531,0.811000156885822,9.27423477622878,"baranyi_no_lag",-6.45730816130566,-8.91213071682609,"yes","apc"
"0422_B",5.67936314593908,0.350892732852065,15.8066802476541,"baranyi_no_lag",-0.787900753281754,-4.39345159860931,"yes","apc"
"0522_B",5.96029140326074,0.239910453334251,9.37349127811791,"baranyi_no_lag",5.91656485900586,4.35431650874226,"yes","apc"
"0522_C",6.41659896227689,0.356619045635887,8.90506416294251,"baranyi_no_lag",-0.0888405955872074,-1.65108894585081,"yes","apc"
"0622_A",5.70581422620393,0.338901062287476,8.82749994922458,"baranyi_no_lag",-25.5683888274476,-27.1306371777112,"yes","apc"
"0622_B",5.51078633343003,0.49810754904841,8.29787276348492,"baranyi_no_lag",4.99704001110887,3.43479166084527,"yes","apc"
"0722_A",4.24793492436593,0.745377124968291,8.64969578490843,"baranyi_no_lag",-0.289488589046087,-1.85173693930969,"yes","apc"
"0822_A",5.11006248497946,0.712593105263082,9.20698381807134,"baranyi_no_lag",9.88357768587259,8.321329335609,"yes","apc"
"0822_B",5.16504867274697,0.725731329657189,8.86583421344393,"baranyi_no_lag",2.23165970959737,0.669411359333773,"yes","apc"
"0922_A",5.56001586636908,0.574418555247253,8.81461736731951,"baranyi_no_lag",-3.54431470146139,-5.10656305172499,"yes","apc"
"0922_B",6.23191758572497,0.409371241446432,9.0135511518208,"baranyi_no_lag",-3.40632126196626,-4.96856961222986,"yes","apc"
"1022_A",6.31905417858197,0.510066975926867,9.28659991061113,"baranyi_no_lag",-1.76990264253607,-3.33215099279966,"yes","apc"
