"qseqid","genus"
"s12-0196","Brevundimonas"
"s12-0197","Pseudomonas"
"s12-0199","Curtobacterium"
"s12-0200","Achromobacter"
"s12-0201","Achromobacter"
"s12-0202","Pseudomonas"
"s12-0203","Pseudomonas"
"s12-0204","Erwinia"
"s12-0205","Brevundimonas"
"s12-0206","Stenotrophomonas"
"s12-0207","Pantoea"
"s12-0209","Pseudomonas"
"s12-0210","Brevundimonas"
"s12-0211","Pseudomonas"
"s12-0212","Pseudomonas"
"s12-0213","Pseudomonas"
"s12-0214","Pantoea"
"s12-0215","Brevundimonas"
"s12-0216","Pseudomonas"
"s12-0217","Brevundimonas"
"s12-0218","Pseudomonas"
"s12-0219","Erwinia"
"s12-0220","Erwinia"
"s12-0221","Erwinia"
"s12-0222","Stenotrophomonas"
"s12-0223","Pseudomonas"
"s12-0224","Pseudomonas"
"s12-0225","Pantoea"
"s12-0226","Pseudomonas"
"s12-0227","Pseudomonas"
"s12-0228","Pantoea"
"s12-0229","Pantoea"
"s12-0230","Erwinia"
"s12-0231","Pantoea"
"s12-0232","Pseudomonas"
"s12-0233","Pseudomonas"
"s12-0234","Pseudomonas"
"s12-0235","Pseudomonas"
"s12-0236","Pseudomonas"
"s12-0237","Pseudomonas"
"s12-0238","Erwinia"
"s12-0239","Erwinia"
"s12-0240","Pseudomonas"
"s12-0241","Erwinia"
"s12-0242","Erwinia"
"s12-0243","Pantoea"
"s12-0244","Erwinia"
"s12-0245","Pseudomonas"
"s12-0246","Pseudomonas"
"s12-0247","Pseudomonas"
"s12-0248","Pseudomonas"
"s12-0249","Pseudomonas"
"s12-0250","Pseudomonas"
"s12-0251","Pantoea"
"s12-0252","Pseudomonas"
"s12-0253","Pseudomonas"
"s12-0254","Pseudomonas"
"s12-0255","Erwinia"
"s12-0256","Pseudomonas"
"s12-0257","Pseudomonas"
"s12-0258","Sphingobacterium"
"s12-0259","Pseudomonas"
"s12-0260","Erwinia"
"s12-0261","Pseudomonas"
"s12-0262","Pseudomonas"
"s12-0263","Sanguibacter"
"s12-0264","Sphingobacterium"
"s12-0265","Stenotrophomonas"
"s12-0266","Pseudomonas"
"s12-0267","Pantoea"
"s12-0268","Pseudomonas"
"s12-0269","Pseudomonas"
"s12-0270","Pseudomonas"
"s12-0271","Pseudomonas"
"s12-0272","Pseudomonas"
"s12-0273","Pseudomonas"
"s12-0274","Sphingobacterium"
"s12-0275","Pseudomonas"
"s12-0276","Pseudomonas"
"s12-0277","Erwinia"
"s12-0278","Pseudomonas"
"s12-0279","Erwinia"
"s12-0280","Erwinia"
"s12-0281","Erwinia"
"s12-0283","Stenotrophomonas"
"s12-0285","Shewanella"
"s12-0286","Erwinia"
"s12-0287","Pseudomonas"
"s12-0288","Pantoea"
"s12-0289","Erwinia"
"s12-0290","Pseudomonas"
"s12-0291","Erwinia"
"s12-0292","Pseudomonas"
"s12-0293","Erwinia"
"s12-0295","Pseudomonas"
"s12-0297","Pseudomonas"
"s12-0298","Erwinia"
"s12-0299","Pseudomonas"
"s12-0300","Pseudomonas"
"s12-0301","Pseudomonas"
"s12-0302","Pseudomonas"
"s12-0303","Pseudomonas"
"s12-0304","Pseudomonas"
"s12-0305","Pseudomonas"
"s12-0306","Pseudomonas"
"s12-0307","Pseudomonas"
"s12-0308","Pseudomonas"
"s12-0309","Pseudomonas"
"s12-0311","Erwinia"
"s12-0313","Erwinia"
"s12-0314","Erwinia"
"s12-0315","Pseudomonas"
"s12-0316","Pseudomonas"
"s12-0317","Pseudomonas"
"s12-0318","Pseudomonas"
"s12-0319","Pseudomonas"
"s12-0320","Erwinia"
"s12-0321","Pseudomonas"
